"用例编号","所属模块","用例标题","前置条件","步骤","预期","实际情况","优先级","用例类型","适用阶段","B","R","S","结果","由谁创建"
"11","/抢租客/注册(#7)","验证注册界面账号含特殊字符，输入密码，是否不可用，且有账号要求提示","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号%123
4. 点击两次输入密码123
5. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 注册失败，且有账号要求提示
5.","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 无有账号要求提示
5. 无法点击","1","功能测试","系统测试阶段","1","1","5","失败","石文星",""
"12","/抢租客/注册(#7)","验证注册界面账号含空格，输入密码，是否不可用，且有账号要求提示","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1 23
4. 点击两次输入密码123
5. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 注册失败，且有账号要求提示
5.","页面显示正常1. 	页面显示正常
2. 	界面正常跳转
3. 	输入正常
4. 无有账号要求提示
5. 无法点击","1","功能测试","系统测试阶段","1","2","5","失败","石文星",""
"13","/抢租客/注册(#7)","验证注册界面账号正确，输入密码两次不一致，且有账号要求提示","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号123
4. 点击两次输入密码123和12 3
5. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 注册失败，且有账号要求提示
5.","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 	输入正常
4. 无账号要求提示
5. 无法点击","1","功能测试","系统测试阶段","1","1","5","失败","石文星",""
"14","/抢租客/注册(#7)","验证注册界面布局、控件、字体大小颜色、正确性等","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 验证注册界面布局、控件、字体大小颜色、正确性","1. 页面显示正常
2. 界面正常跳转
3. 界面布局、各控件功能、字体正常","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 界面布局、各控件功能、字体正常","1","功能测试","系统测试阶段","0","1","3","通过","石文星",""
"15","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，是否注册成功","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 注册成功","页面显示正常1. 	页面显示正常
2. 	界面正常跳转
3. 	输入正常
4. 	输入正常
5. 无法点击","1","功能测试","系统测试阶段","1","1","5","失败","石文星",""
"16","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号码为12位，是否成功","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入手机号134123412345
6. 验证码0000
7. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 注册失败","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 无法点击","1","功能测试","系统测试阶段","1","1","7","失败","石文星",""
"17","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号码为10位，是否成功","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入手机号1341234123
6. 验证码0000
7. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 注册失败","页面显示正常1. 	页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 无法点击","1","功能测试","系统测试阶段","1","1","7","失败","石文星",""
"18","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号码为11位包含空格，是否成功","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入手机号1341234 123
6. 验证码0000
7. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 注册失败","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 	输入正常
4. 	输入正常
5. 	输入正常
6. 	输入正常
7. 无法点击","1","功能测试","系统测试阶段","1","2","7","失败","石文星",""
"19","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号码为11位包含特殊字符，是否成功","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入手机号1341234,123
6. 验证码0000
7. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 注册失败","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 点击无反应","1","功能测试","系统测试阶段","0","1","7","失败","石文星",""
"20","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号码为空，是否成功","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入手机号空
6. 验证码0000
7. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 注册失败","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 点击无反应","1","功能测试","系统测试阶段","2","1","7","失败","石文星",""
"21","/抢租客/注册(#7)","验证注册界面其他正确，不勾选协议，是否注册成功","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入13412341234
6. 验证码0000
7. 选择物业方
8. 不勾选协议
9. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 输入正常
8. 输入正常
9. 注册失败","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 输入正常
8. 输入正常
9. 点击注册无反应","1","功能测试","系统测试阶段","1","1","9","失败","石文星",""
"22","/抢租客/登录(#8)","验证账号密码正确，是否登录成功","账号：抢租客0
密码：123
已注册","1. 进入停哪儿车位协议首页
2. 点击输入账号抢租客0
3. 点击输入密码123
4. 输入验证码
5. 点击登录","1. 页面显示正常
2. 输入正常
3. 输入正常
4. 输入正常
5. 登录成功","1. 
2. 
3. 
4. 
5.","1","功能测试","系统测试阶段","0","1","5","通过","石文星",""
"23","/抢租客/登录(#8)","验证账号为空，输入密码，是否可以登录","/","1. 进入停哪儿车位协议首页
2. 点击输入账号空
3. 点击输入密码123
4. 点击登录","1. 页面显示正常
2. 输入正常
3. 输入正常
4. 登录失败且提示账号要求","页面显示正常1. 	页面显示正常
2. 	输入正常
3. 	输入正常
4.","1","功能测试","系统测试阶段","0","1","4","通过","石文星",""
"24","/抢租客/登录(#8)","验证账号密码为空点登录是否有提示","/","1. 进入停哪儿车位协议首页
2. 点击输入账号空
3. 点击输入密码空
4. 点击登录","1. 页面显示正常
2. 输入正常
3. 输入正常
4. 登录失败并提示","页面显示正常1. 页面显示正常
2. 输入正常
3. 输入正常
4. 只提示输入正确的验证码","1","功能测试","系统测试阶段","1","1","4","失败","石文星",""
"25","/抢租客/登录(#8)","验证登录有无记住密码功能","账号：抢租客0
密码：123
已注册","1. 进入停哪儿车位协议首页
2. 查看并点击记住密码，重复登录测试","1. 页面显示正常
2. 测试成功","页面显示正常1. 页面显示正常
2. 无记住密码按钮","1","功能测试","系统测试阶段","1","1","2","失败","石文星",""
"26","/抢租客/登录(#8)","登录界面输入框tab、enter验证","账号：抢租客0
密码：123
已注册","1. 进入停哪儿车位协议首页
2. tab键切换输入账号抢租客0密码123验证码、登录
3. enter登录","1. 页面显示正常
2. 输入正常
3. 登陆成功","页面显示正常1. 页面显示正常
2. tab无法切换至登录按钮
3. enter无法登录","1","功能测试","系统测试阶段","1","1","3","失败","石文星",""
"27","/抢租客/登录(#8)","验证是否有登录后是否可以注销","账号：抢租客0
密码：123
已登录","1. 进入抢租客首页
2. 点击注销","1. 页面显示正常
2. 注销成功","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"28","/抢租客/登录(#8)","验证忘记密码的功能是否可用","账号：抢租客0
密码：123
已注册","1. 进入停哪儿车位协议首页
2. 点击忘记密码
3. 找回密码验证（新密码1234）
4. 点击登录（账号：抢租客0密码：123）","1. 页面显示正常
2. 界面正常跳转
3. 输入新密码正常
4. 登录成功","1. 
2. 
3. 
4.","1","功能测试","系统测试阶段","0","1","4","通过","石文星",""
"29","/抢租客/登录(#8)","验证手机版下载是否可用","账号：抢租客0
密码：123
已注册","1. 进入停哪儿车位协议首页
2. 点击下载手机版","1. 页面显示正常
2. 界面正常跳转下载成功","页面显示正常1. 页面显示正常
2. 界面正常跳转乱码","1","功能测试","系统测试阶段","1","1","2","失败","石文星",""
"30","/抢租客/登录(#8)","验证密码在数据库是否密文存储是否可用","账号：抢租客0
密码：123
已注册","1. 进入数据库
2. 查看userinfo表upass","1. 显示正常
2. 密码在数据库是密文","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"31","/抢租客/登录(#8)","验证账户密码是否区分大小写","账号：抢租客1
密码：qWe
已注册","1. 进入停哪儿车位协议首页
2. 点击输入账号抢租客1
3. 点击输入密码Qwe
4. 输入验证码
5. 点击登录","1. 页面显示正常
2. 输入正常
3. 输入正常
4. 输入正常
5. 登录失败","1. 
2. 
3. 
4. 
5.","1","功能测试","系统测试阶段","0","1","5","通过","石文星",""
"32","/抢租客/登录(#8)","验证密码是否加密显示","/","1. 进入停哪儿车位协议首页
2. 输入密码","1. 页面显示正常
2. 输入正常","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"33","/抢租客/登录(#8)","验证密码加密/明文显示的按钮","/","1. 进入停哪儿车位协议首页
2. 输入密码
3. 点击眼睛按钮","1. 页面显示正常
2. 加密
3.","1. 
2. 
3.","1","功能测试","系统测试阶段","0","1","3","通过","石文星",""
"34","/抢租客/登录(#8)","点击验证码图片是否可以更换验证码","/","1. 进入停哪儿车位协议首页
2. 点击换一行","1. 页面显示正常
2. 切换正常","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"35","/抢租客/登录(#8)","刷新页面验证码是否变化","/","1. 进入停哪儿车位协议首页
2. 刷新页面","1. 页面显示正常
2. 切换验证码","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"36","/抢租客/登录(#8)","密码是否支持粘贴","/","1. 进入停哪儿车位协议首页
2. 粘贴密码","1. 页面显示正常
2. 不支持粘贴","页面显示正常1. 页面显示正常
2. 可以复制粘贴密码","1","安全相关","系统测试阶段","1","1","2","失败","石文星",""
"37","/抢租客/登录(#8)","用户登录成功但是会话超时后，继续操作是否会重定向到用户登录界面","账号：抢租客0
密码：123
已登录","1. 登录无操作20分钟后刷新界面，是否重定向到登录界面","1. 重定向到登录界面","1.","1","安全相关","系统测试阶段","0","1","1","通过","石文星",""
"38","/抢租客/登录(#8)","不登录的情况下，在浏览器中直接输入登录后的URL地址，验证是否会重新定向到用户登录界面","登录后的URL地址","1. 直接输入登录后的URL地址，验证是否会重新定向到用户登录界面","1. 重定向到登录界面","1.","1","安全相关","系统测试阶段","0","1","1","通过","石文星",""
"39","/抢租客/登录(#8)","连续多次登录失败情况下，系统是否会阻止后续的尝试","账号：抢租客0
密码：123","1. 进入停哪儿车位协议首页
2. 点击输入账号抢租客0
3. 点击输入密码12
4. 输入验证码
5. 点击登录
6. 重复3次","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 登录失败
6. 阻止后续登录","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 登录失败
6. 重复3次后依然可尝试登录","1","安全相关","系统测试阶段","1","1","6","失败","石文星",""
"40","/抢租客/登录(#8)","密码输入框内输入的密码是否可以在页面源码模式下被查看","账号：抢租客0
密码：123","1. 进入停哪儿车位协议首页
2. 点击输入账号抢租客0
3. 点击输入密码123
4. 查看源码是否有密码","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常","1. 
2. 
3. 
4.","1","安全相关","系统测试阶段","0","1","4","通过","石文星",""
"41","/抢租客/登录(#8)","单用户登录的响应时间是否小于3秒；","账号：抢租客0
密码：123","1. 输入账号抢租客0密码：123 登录
2. 测试响应时间","1. 登录成功
2. 小于3秒","1. 
2.","1","性能测试","系统测试阶段","0","0","2","","石文星",""
"42","/抢租客/登录(#8)","高并发场景下用户登录的响应时间是否小于5秒","账号：抢租客0
密码：123","1. 模拟高并发场景下用户登录，测试响应时间","1. 小于5秒","1.","1","性能测试","系统测试阶段","0","0","1","","石文星",""
"43","/抢租客/登录(#8)","不同浏览器下，验证登录页面的显示以及功能正确性","账号：抢租客0
密码：123","1. 五大主流浏览器分别登录查看界面","1. 界面正常","1.","1","功能测试","系统测试阶段","0","1","1","通过","石文星",""
"44","/抢租客/注册(#7)","验证注册界面布局、控件、字体大小颜色、正确性等","/","1. 进入停哪儿车位协议首页
2. 验证界面布局、控件、字体大小颜色、正确性","1. 页面显示正常
2. 界面布局、各控件功能、字体正常","页面显示正常1. 	页面显示正常
2. 界面布局、各控件功能、字体正常","3","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"45","/抢租客/主页(#9)","验证界面布局、控件功能、字体大小颜色、正确性等","账号：抢租客0
密码：123
已登录","1. 验证界面布局、控件、字体大小颜色、正确性","1. 界面布局、各控件功能、字体正常","1.","3","功能测试","系统测试阶段","0","1","1","通过","石文星",""
"46","/抢租客/主页/搜索车位(#12)","验证左上角搜索框旁是否有搜索按钮","账号：抢租客0
密码：123
已登录","1. 进入抢租客主页
2. 查看搜索按钮","1. 输入成功
2. 搜索按钮可点击","输入成功1. 输入成功
2. 无搜索按钮","1","功能测试","系统测试阶段","1","1","2","失败","石文星",""
"47","/抢租客/主页/搜索车位(#12)","验证左上角搜索框定位","账号：抢租客0
密码：123
已登录","1. 输入市图书馆
2. 查看是否定位到附近车位信息","1. 输入成功
2. 定位到","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"48","/抢租客/主页/搜索车位(#12)","验证左上角搜索框能否enter键搜索","账号：抢租客0
密码：123
已登录","1. 输入市图书馆
2. 回车查看是否定位到附近车位信息","1. 输入成功
2. 定位到","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"49","/抢租客/主页/搜索车位(#12)","手动拖拽首页地图的方式，能否来查看附近车位信息","账号：抢租客0
密码：123
已登录","1. 输入市图书馆
2. 查看是否定位到附近车位信息
3. 手动拖拽首页地图的方式，能否来查看附近车位信息","1. 输入成功
2. 定位到市图书馆附近
3. 可以查看附近车位信息","1. 
2. 
3.","1","功能测试","系统测试阶段","0","1","3","通过","石文星",""
"50","/抢租客/主页/查看车位(#13)","验证点击红色标识点，来查看标识点所示位置区域附近车位的基本信息","1.账号：抢租客0
密码：123
已登录
2.定位到附近市图书馆车位信息","1. 点击红色标识点，查看标识点所示位置区域附近车位的基本信息","1. 正常点击且跳转","1.","1","功能测试","系统测试阶段","0","1","1","通过","石文星",""
"51","/抢租客/主页/查看车位(#13)","基本信息是否显示完整、正确","1.账号：抢租客0
密码：123
已登录
2.定位到附近市图书馆车位信息","1. 点击红色标识点
2. 点击查看详情，显示详情核对车位大小、价格、状态与抢购界面是否一致","1. 正常点击且且跳转
2. 车位大小、价格、状态与抢购界面一致","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"52","/抢租客/主页/查看车位(#13)","验证查看车位界面的翻页符是否可用","1.账号：抢租客0
密码：123
已登录","1. 点击红色标识点
2. 点击查看详情
3. 点击翻页符","1. 正常点击且跳转
2. 正常点击且跳转
3. 翻页、查询页按钮正常点击","1. 
2. 
3.","1","功能测试","系统测试阶段","0","1","3","通过","石文星",""
"53","/抢租客/主页/查看车位(#13)","验证车位界面信息过多时是否有换页符","1.账号：抢租客0
密码：123
已登录","1. 点击红色标识点
2. 查看换页符并切换","1. 正常点击且跳转
2. 翻页、查询页按钮正常点击","正常点击且跳转1. 正常点击且跳转
2. 无换页符","1","功能测试","系统测试阶段","1","1","2","失败","石文星",""
"54","/抢租客/主页/车位抢购(#14)","抢购界面各控件、界面布局、字体","1.账号：抢租客0
密码：123
已登录","1. 点击红色标识点
2. 定位到附近市图书馆车位信息
3. 点丰海路停车场抢购
4. 查看布局","1. 查看余额大于26
2. 跳转成功
3. 跳转成功
4. 成功","1. 
2. 
3. 
4.","1","功能测试","系统测试阶段","0","1","4","通过","石文星",""
"55","/抢租客/主页/车位抢购(#14)","验证余额足够时抢购","1.账号：抢租客0
密码：123
已登录","1. 查看余额
2. 点击红色标识点
3. 定位到附近市图书馆车位信息
4. 抢购车位
5. 查看余额","1. 查看余额大于抢购车位金额
2. 跳转成功
3. 跳转成功
4. 抢购成功
5. 余额差额为总金额-抢购金额","1. 
2. 
3. 
4. 
5.","1","功能测试","系统测试阶段","0","1","5","通过","石文星",""
"56","/抢租客/主页/车位抢购(#14)","验证余额少于车位费","1.账号：抢租客0
密码：123
已登录","1. 查看余额
2. 点击红色标识点
3. 定位到附近市图书馆车位信息
4. 点丰海路停车场抢购1天","1. 查看余额小于26
2. 跳转成功
3. 跳转成功
4. 提示余额不足","1. 
2. 
3. 
4.","1","功能测试","系统测试阶段","0","1","4","通过","石文星",""
"57","/抢租客/主页/车位抢购(#14)","验证抢购时间与实际天数、总金额是否正确","位于点丰海路停车场抢购抢购界面","1. 选择日期2021/01/09-2021/01/09
2. 能否抢购","1. 选择成功
2. 抢购失败，日期选择错误","选择成功1. 选择成功
2. 抢购成功，下单0元","1","功能测试","系统测试阶段","1","2","2","失败","石文星",""
"58","/抢租客/主页/车位抢购(#14)","验证抢购时间能否选择当天几小时","位于点丰海路停车场抢购抢购界面","1. 选择日期当天
2. 查看实际天数为1、总金额26","1. 选择成功
2. 实际天数、总金额正确","选择成功1. 选择成功
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"59","/抢租客/主页/车位抢购(#14)","验证界面布局、控件功能、字体大小颜色、正确性等","位于点丰海路停车场抢购抢购界面","1. 点丰海路停车场抢购抢购界面，查看功能、界面","1. 功能、界面正常","1.","1","功能测试","系统测试阶段","0","1","1","通过","石文星",""
"60","/抢租客/主页/车位导航(#15)","验证界面布局、控件功能、字体大小颜色、正确性等","位于点丰海路停车场抢购抢购界面","1. 点丰海路停车场导航界面，查看功能、界面","1. 功能、界面正常","1.","1","功能测试","系统测试阶段","0","1","1","通过","石文星",""
"61","/抢租客/主页/车位导航(#15)","是否默认支持百度导航，能否跳转其他第三方导航","位于点丰海路停车场抢购抢购界面","1. 点击去哪儿查看","1. 默认支持百度导航，可跳转其他第三方导航","无法使用第三方导航1. 无法使用第三方导航","1","功能测试","系统测试阶段","1","1","1","失败","石文星",""
"62","/(#0)","验证界面布局、控件功能、字体大小颜色、正确性等","点丰海路停车场抢购已抢购","1. 抢租客0登录
2. 点击历史记录，验证界面布局、控件功能、字体大小颜色、正确性","1. 登录成功
2. 界面布局、控件功能、字体大小颜色、正确","1. 
2.","3","功能测试","系统测试阶段","0","0","2","","石文星",""
"63","/抢租客/历史记录/查看历史订单(#16)","查看历史订单","1.账号：抢租客0
密码：123
已登录","1. 抢租客0登录
2. 点击历史记录","1. 登录成功
2. 显示已抢购的订单","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"64","/抢租客/历史记录/查看订单详情(#18)","是否可查看车牌、开始时间结束时间、订单状态及订单相关操作。","位于查看订单界面","1. 点击详情
2. 查看车牌、开始时间结束时间、订单状态","1. 跳转成功
2. 查看成功","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"65","/抢租客/历史记录/查看订单详情(#18)","详情各信息是否正确","位于查看订单界面","1. 点击详情
2. 查看车牌、开始时间结束时间、订单状态是否对应","1. 跳转成功
2. 均对应","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"66","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按时间查询
2. 输入2020/01/09","1. 点击成功
2. 查询成功","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"67","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按时间查询
2. 输入2018/02/29","1. 点击成功
2. 查询失败并提示","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"68","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按时间查询
2. 输入2018/02/29","1. 点击成功
2. 查询失败并提示","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"69","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按时间查询
2. 输入2022/01/01","1. 点击成功
2. 无法选择当天往后的","点击成功1. 	点击成功
2. 可以选择，并查询成功","1","功能测试","系统测试阶段","1","1","2","失败","石文星",""
"70","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按时间查询
2. 输入2022/13/32","1. 点击成功
2. 输入失败并提示","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"71","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按时间查询
2. 验证日历弹窗的控件","1. 点击成功
2. 控件功能正常","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"72","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按时间查询
2. 验证日历弹窗的控件","1. 点击成功
2. 控件功能正常","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"73","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按状态查询
2. 选择所有，点搜索","1. 点击成功
2. 订单展示正常","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"74","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按状态查询
2. 选择完成，点搜索","1. 点击成功
2. 订单展示正常","1. 
2.","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"75","/抢租客/历史记录/搜索历史订单(#17)","验证搜索框","位于查看订单界面","1. 点击按状态查询
2. 选择进行中，点搜索","1. 点击成功
2. 订单展示正常、且完成日期均大于当前日期","点击成功1. 	点击成功
2. 订单展示正常、但有订单完成日期早于当前日","1","功能测试","系统测试阶段","1","1","2","失败","石文星",""
